# amplicon position	effect
1	1.027027027027026973e+00
2	2.000000000000000000e+00
3	0.000000000000000000e+00
4	9.499999999999999556e-01
5	0.000000000000000000e+00
6	1.000000000000000000e+00
7	1.000000000000000000e+00
8	1.250000000000000000e+00
9	1.333333333333333259e+00
10	0.000000000000000000e+00
11	1.000000000000000000e+00
12	8.571428571428570953e-01
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	1.000000000000000000e+00
16	0.000000000000000000e+00
17	1.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	1.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	1.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	1.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	3.000000000000000000e+00
81	3.000000000000000000e+00
82	3.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	1.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	0.000000000000000000e+00
96	1.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	1.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	1.000000000000000000e+00
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	1.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
134	0.000000000000000000e+00
135	0.000000000000000000e+00
136	0.000000000000000000e+00
137	0.000000000000000000e+00
138	0.000000000000000000e+00
139	1.000000000000000000e+00
140	0.000000000000000000e+00
141	0.000000000000000000e+00
142	0.000000000000000000e+00
143	0.000000000000000000e+00
144	0.000000000000000000e+00
145	0.000000000000000000e+00
146	0.000000000000000000e+00
147	0.000000000000000000e+00
148	1.000000000000000000e+00
149	0.000000000000000000e+00
150	1.000000000000000000e+00
151	4.000000000000000000e+00
152	3.772727272727272929e+00
153	3.652173913043478048e+00
154	3.772727272727272929e+00
155	1.199999999999999956e+00
156	1.199999999999999956e+00
157	2.080000000000000071e+01
158	9.800000000000000000e+01
159	6.533333333333332860e+01
160	1.043999999999999950e+01
161	7.861111111111110716e+00
162	1.305882352941176450e+01
163	5.410377358490565669e+00
164	2.637837837837837895e+01
165	3.657692307692308020e+01
166	3.282758620689655515e+01
167	1.705357142857142705e+01
168	2.385000000000000142e+01
169	2.355000000000000071e+01
170	2.328205128205128105e+01
171	2.323076923076922995e+01
172	1.211389521640091171e+00
173	1.805660377358490720e+01
174	1.704545454545454675e+01
175	1.635294117647058698e+01
176	1.343132751492880139e+00
177	1.388372093023255793e+01
178	1.175000000000000000e+01
179	1.269425287356321874e+01
180	1.394467213114754145e+01
181	7.614720394736842479e+00
182	8.252791068580542344e+00
183	8.722716248989490495e+00
184	1.016561455625696198e+01
185	1.094389438943894355e+01
186	1.141721132897603574e+01
187	2.446797520661156966e+01
188	2.587917485265225892e+01
189	2.861505832449628883e+01
190	2.782758620689655160e+01
191	3.200127877237851948e+01
192	3.326711409395973362e+01
193	3.294848084544253908e+01
194	1.502443181818181905e+01
195	3.347229219143576984e+01
196	3.723015075376884653e+01
197	3.798203054806828050e+01
198	3.474520337682271531e+01
199	3.735606661379857485e+01
200	3.895163934426229702e+01
201	4.582817182817182555e+01
202	4.539113300492611103e+01
203	4.694409282700421926e+01
204	4.840153172866520492e+01
205	4.819006479481641492e+01
206	3.791566265060240681e+01
207	3.710072992700730055e+01
208	3.737582417582417804e+01
209	2.963683935112506518e+01
210	2.964071541294055834e+01
211	2.973446627721720503e+01
212	3.037855579868708844e+01
213	3.030103429504627144e+01
214	3.069001654715940575e+01
215	3.092436040044493950e+01
216	3.116951080773606364e+01
217	3.095205865764241437e+01
218	3.090888638920134923e+01
219	3.078131991051454008e+01
220	3.938603531300160654e+01
221	5.229433051869722249e+01
222	5.348280098280098116e+01
223	5.336474908200734291e+01
224	5.135999999999999943e+01
225	5.353610771113831390e+01
226	5.323058252427184556e+01
227	5.261887694145758587e+01
228	4.181962864721485573e+01
229	3.890464743589743790e+01
230	3.863978073610023500e+01
231	3.979227053140096615e+01
232	3.934810126582278400e+01
233	3.572319551506657120e+01
234	3.545423497267759672e+01
235	3.528716216216216139e+01
236	3.546024258760107983e+01
237	3.540469798657718314e+01
238	3.333292533659730594e+01
239	3.173719376391982294e+01
240	3.660106737825216783e+01
241	3.640635340833885181e+01
242	3.640569159497022156e+01
243	3.641164791528788669e+01
244	3.595172863666014251e+01
245	3.599738732854343226e+01
246	3.745223367697594341e+01
247	3.685300067430883075e+01
248	3.628827037773359621e+01
249	3.624140211640211362e+01
250	3.585686274509804150e+01
251	3.532455012853470322e+01
252	3.344700181708055453e+01
253	2.860646485377116477e+01
254	2.127849056603773548e+01
